,kyhmyjoutsen,laulujoutsen,sinisorsa,tukkasotka,alli,telkkä,tukkakoskelo,isokoskelo,merimetso,harmaahaikara,merikotka,varpushaukka,hiirihaukka,muuttohaukka,kalalokki,harmaalokki,merilokki,käpytikka,tilhi,mustarastas,räkättirastas,sinitiainen,talitiainen,viherpeippo,vihervarpunen,urpiainen,tavi,lapasotka,piekana,punarinta,harakka,varis,punatulkku,kanadanhanhi,kanahaukka,korppi,vesilintu,nokikana,naurulokki,haahka,pikkutikka,isokäpylintu,uivelo,kesykyyhky,hippiäinen,hömötiainen,puukiipijä,kuikkalaji,pilkkasiipi,töyhtötiainen,naakka,tikli,sarvipöllö,lehtopöllö,joutsenlaji,punasotka,peippo,töyhtöhyyppä,uuttukyyhky,kiuru,mustavaris,kottarainen,merihanhi,sepelkyyhky,pulmunen,keltasirkku,kulorastas,kaakkuri,silkkiuikku,västäräkki,hanhilaji,ristisorsa,kurki,tylli,sarvipöllölaji,niittykirvinen,laulurastas,punakylkirastas,lapinsirkku,pajusirkku,kapustarinta,lehtokurppa,rautiainen,järripeippo,haapana,mustalintu,tuulihaukka,peukaloinen,viiksitimali,isolepinkäinen,punajalkaviklo,metsähanhi,tundrahanhi,harmaahanhilaji,valkoposkihanhi,kyhmyhaahka,meriharakka,riskilä,kangaskiuru,pikkukäpylintu,selkälokki,luotokirvinen,hemppo,tunturikiuru,jouhisorsa,iso päiväpetolintu,kuovi,pikkuvarpunen,pikkukäpylintu / isokäpylintu,hiirihaukkalaji,iso rastas,nokkavarpunen,harmaasorsa,kuikka,sääksi,metsäviklo,taivaanvuohi,lapasorsa,ruskosuohaukka,suopöllö,mustaleppälintu,ampuhaukka,rastaslaji (Turdus),tiltaltti,kuusitiainen,sinisuohaukka,kivitasku,pieni jalohaukka,kuovilaji,merikihu,räyskä,pikkujoutsen,härkälintu,pikkukuovi,kyyhkylaji (Columba),metsäkirvinen,varpunen,teeri,mustakurkku-uikku,punakuiri,kalatiira,kalatiira / lapintiira,uunilintulaji,pieni kahlaaja,ruokki,ruokki / kiislalaji,iso kahlaaja,lapintiira,pikkulintu,valkoviklo,pohjansirkku,tukkakoskelo / isokoskelo,nuolihaukka,pikkutylli,silkkiuikku / härkälintu,rantasipi,sorsalaji,tukkasotka / lapasotka,pikkulokki,turkinkyyhky,käenpiika,haarapääsky,pajulintu,avosetti,liro,hernekerttu,mustapääkerttu,kirjosieppo,korppi / varis / mustavaris,heinätavi,karikukko,leppälintu,sepelrastas,pikkukajava,jänkäkurppa,pääsky,keltavästäräkki,satakieli,pensastasku,sirittäjä,peltosirkku,suosirri,mustaviklo,räystäspääsky,pikkusieppo,pensaskerttu,suokukko,lapinsirri,keskikokoinen kahlaaja,leveäpyrstökihu,käki,tervapääsky,törmäpääsky,harmaasieppo,sinirinta,ruokokerttunen,pikkulepinkäinen,allihaahka,rytikerttunen,punavarpunen,pensassirkkalintu,mehiläishaukka,sitruunavästäräkki,lehtokerttu,idänuunilintu,pussitiainen,kultarinta,keltahemppo,palokärki,luhtakerttunen,sepelhanhi,mehiläishaukka / hiirihaukkalaji,rastaskerttunen,jalohaikara,tundrakurmitsa,kahlaaja,vesipääsky,isosirri,amerikanjääkuikka / jääkuikka,jänkäsirriäinen,viitakerttunen,kirjokerttu,punajalkahaukka,kehrääjä,kirjosiipikäpylintu,pieni vesilintu,riuttatiira,kuovisirri,harmaapäätikka,iso vesilintu,mustapyrstökuiri,pikkusirri,kurmitsalaji,heinäkurppa,luhtakana,pähkinähakki,haarahaukka,arosuohaukka / niittysuohaukka,lapinkirvinen,närhi,sinisuohaukka / arosuohaukka / niittysuohaukka,arokotka,arosuohaukka,pulmussirri,tunturikihu,pohjansirkku / pikkusirkku / kultasirkku,kihulaji,valkoselkätikka,taigauunilintu,pieni rastas,pähkinänakkeli,pohjantikka,pyrstötiainen,helmipöllö,maakotka,hippiäisuunilintu,pieni päiväpetolintu,tilhi / kottarainen,turturikyyhky,varpuspöllö,keskikokoinen tikka,koskikara,taviokuurna,taigakirvinen,vuorihemppo,lyhytvarvaskiuru,tundraurpiainen,fasaani,amerikanjääkuikka,mustatiira,jääkuikka,nummikirvinen,mehiläissyöjä,keräkurmitsa,sepelsieppo,kuhankeittäjä,kiljukotka,kiljukotka / pikkukiljukotka,pikkutiira,viitasirkkalintu,nokivaris,pikkukultarinta,virtavästäräkki,kiljukotka / pikkukiljukotka / arokotka,etelänkiisla,viitakerttunen / luhtakerttunen / rytikerttunen,vuoriuunilintu,jalohaukkalaji,lyhytnokkahanhi,tiaislaji,iso jalohaukka,huuhkaja,isokirvinen,peippolaji,isovesipääsky,ruskouunilintu,harmaasirkku,pikku-uikku,isolokki,lokkilaji,metso,kattohaikara,ruisrääkkä,amerikantukkasotka,kyhmypilkkasiipi,liejukana,kaulushaikara,hiiripöllö,mustakaularastas,pikkusirkku,selkälokki / harmaalokki / isolokki / merilokki,merisirri,harjalintu,mustapäätasku,luhtahuitti,lumihanhi,punakaulahanhi,lampiviklo,rantakurvi,sirrilaji,tunturihaukka,haarapääsky X räystäspääsky,punakottarainen,viirupöllö,mustalintulaji,rusorintakerttu,isohaarahaukka,lapintiainen,kuningaskalastaja,västäräkkilaji,tyllilaji,viitatiainen,taigarautiainen,lapinpöllö,kashmirinuunilintu,aroharmaalokki,kirvislaji,ruostesorsa,mustahaikara,varpushaukkalaji,sinipyrstö,iso pikkulintu,kääpiökerttu,punapäänarsku,vesilintu / kahlaaja,tulipäähippiäinen,varislaji,niittysuohaukka,palsasirri,keskikokoinen pikkulintu
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-02,0,0,0,,,32,,,,,0,,,0,,,,,,,2,0,0,0,0,,,,,0,,0,9,,,0,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-03,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,0,0,0,0,0,0,0,0,0,,0,6,8,,0,0,0,0,,0,152,2,0,0,0,0,,,,0,,0,0,4,,0,,,21,0,,,0,,0,,,,,,51,0,,,,,368,60,1,6,,198,2,208,1,0,20,,,4,,,78,,,2,14,281,,2,,,,0,0,,,0,0,,,,7,,,,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,0,0,0,2,0,13,18,0,17,,0,0,,,0,0,0,0,1,0,9,0,0,0,147,1,2,,,1,,0,,,,0,,,0,441,,,0,,0,,0,,53,,,1,,,,,5,,,1,,0,3,0,,0,2,5,,0,,0,,0,,0,17,6,,0,11,0,1,0,0,20,,,,,0,,,,25,,0,,,,10,0,0,,0,,,,,,,,0,11,,0,,0,,,,,,0,,,7,,,2,0,,,7,,8,,,,0,0,2,,,,,,1,,11,,,1,0,,0,,,,,0,,2,,0,0,0,0,,,1,0,,,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,0,,12,2,0,109,6,127,25,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,,,,,,0,,0,,0,,0,52,2014,,,,,,,,39,9,,33,0,,,,,0,1,,0,,0,0,7,,,,13,,0,,1,,0,,0,0,,,,,,,,,0,0,,,,0,,,,0,,4,0,,,0,,,,,,1,,,,,,,11,,,,0,,,,,,0,,,0,,,1,,,,,,0,,,,35,0,0,,1,7,,55,0,,,,,1,,,0,,,,,0,6,0,,,0,,0,,,0,,,,,0,,0,,,,,,0,,0,,,,,,0,0,0,,,0,,0,3,,,,0,,,0,,,0,,,,,46,,1,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,,,0,5,,5,,0,0,0,,,,,12,0,0,,,0,0,0,0,0,22,,,,,,,0,,,,0,,,55,0,,,,0,,,,,,0,,,,,,,0,2,,,,24,0,4,,,,4,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,23,0,,0,,,,1,,,,,,,1,,,,,,,,,,,,,0,,,,0,,,,,,,,,,0,0,,,,,,0,,2,,,,,,0,,,,,0,0,0,,,0,0,0,,,,,,,,,,0,,,,,,0,,0,,,,,,0,,0,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,0,,0,1,,,0,0,106,0,0,0,,,10,0,0,3,,0,0,0,0,0,4,,0,,,,,0,,,,0,,,0,0,,,,,,,,,,0,,,,,,,0,,,,,0,0,,,,,,,0,,,,0,,,0,,,,,,,,,,0,,,,0,,,,,,0,,,10,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,0,,,0,,2,,,,0,2,0,,4,18,,1,,,0,,,0,,,0,,,,,0,0,0,,2,0,0,0,,,,,,,,,,,,,,60,,0,,0,1,,,,,0,1,0,,,,,,4,,,,0,,,0,,,,,,,,0,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-09,0,0,0,0,,4,,0,16,0,0,36,,,0,0,0,,,0,,3,0,1,184,,,,,0,,0,,,,0,,,0,0,0,,,,0,0,,5,,0,1,,,,,,246,,,,,6,,,,,,1,,26,,,9,0,,3,0,,,,,,1,3,13,35,0,0,,,,,,,,,0,,,,,,,,,,,,13,,,2,,23,1,,,,2,,,,,0,1,,0,,,2,,,,,,89,2,,,,,,,,,,,,10,0,,,3,,,0,,,,,,18,0,,,0,0,0,,,,0,,,,,19,,0,,,,,4,,,0,,,,1,2,1,0,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-10,0,0,0,,0,0,0,0,21,3,0,11,,,0,0,0,6,,4,6,142,47,105,288,,0,,,0,3,12,27,,,0,,,0,0,2,,,,0,55,1,5,,4,308,16,,,,,303,,23,3,,19,,201,,17,42,,,8,8,,,0,,21,1,,,0,,,11,160,0,,,0,,2,,,,,27,,,,6,,,,14,,,,,32,,,,,,,,,0,,,,,1,,0,5,0,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,23,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
