,kyhmyjoutsen,laulujoutsen,sinisorsa,tukkasotka,alli,telkkä,tukkakoskelo,isokoskelo,merimetso,harmaahaikara,merikotka,varpushaukka,hiirihaukka,muuttohaukka,kalalokki,harmaalokki,merilokki,käpytikka,tilhi,mustarastas,räkättirastas,sinitiainen,talitiainen,viherpeippo,vihervarpunen,urpiainen,tavi,lapasotka,piekana,punarinta,harakka,varis,punatulkku,kanadanhanhi,kanahaukka,korppi,nokikana,naurulokki,haahka,pikkutikka,isokäpylintu,uivelo,kesykyyhky,hippiäinen,hömötiainen,puukiipijä,pilkkasiipi,töyhtötiainen,naakka,tikli,sarvipöllö,lehtopöllö,punasotka,peippo,töyhtöhyyppä,uuttukyyhky,kiuru,mustavaris,kottarainen,merihanhi,sepelkyyhky,pulmunen,keltasirkku,kulorastas,kaakkuri,silkkiuikku,västäräkki,ristisorsa,kurki,tylli,niittykirvinen,laulurastas,punakylkirastas,lapinsirkku,pajusirkku,kapustarinta,lehtokurppa,rautiainen,järripeippo,haapana,mustalintu,tuulihaukka,peukaloinen,viiksitimali,isolepinkäinen,punajalkaviklo,metsähanhi,tundrahanhi,valkoposkihanhi,kyhmyhaahka,meriharakka,riskilä,kangaskiuru,pikkukäpylintu,selkälokki,luotokirvinen,hemppo,tunturikiuru,jouhisorsa,kuovi,pikkuvarpunen,nokkavarpunen,harmaasorsa,kuikka,sääksi,metsäviklo,taivaanvuohi,lapasorsa,ruskosuohaukka,suopöllö,mustaleppälintu,ampuhaukka,tiltaltti,kuusitiainen,sinisuohaukka,kivitasku,merikihu,räyskä,pikkujoutsen,härkälintu,pikkukuovi,metsäkirvinen,varpunen,teeri,mustakurkku-uikku,punakuiri,kalatiira,ruokki,lapintiira,valkoviklo,pohjansirkku,nuolihaukka,pikkutylli,rantasipi,pikkulokki,turkinkyyhky,käenpiika,haarapääsky,pajulintu,avosetti,liro,hernekerttu,mustapääkerttu,kirjosieppo,heinätavi,karikukko,leppälintu,sepelrastas,pikkukajava,jänkäkurppa,pääsky,keltavästäräkki,satakieli,pensastasku,sirittäjä,peltosirkku,suosirri,mustaviklo,räystäspääsky,pikkusieppo,pensaskerttu,suokukko,lapinsirri,leveäpyrstökihu,käki,tervapääsky,törmäpääsky,harmaasieppo,sinirinta,ruokokerttunen,pikkulepinkäinen,allihaahka,rytikerttunen,punavarpunen,pensassirkkalintu,mehiläishaukka,sitruunavästäräkki,lehtokerttu,idänuunilintu,pussitiainen,kultarinta,keltahemppo,palokärki,luhtakerttunen,sepelhanhi,rastaskerttunen,jalohaikara,tundrakurmitsa,kahlaaja,vesipääsky,isosirri,jänkäsirriäinen,viitakerttunen,kirjokerttu,punajalkahaukka,kehrääjä,kirjosiipikäpylintu,riuttatiira,kuovisirri,harmaapäätikka,mustapyrstökuiri,pikkusirri,heinäkurppa,luhtakana,pähkinähakki,haarahaukka,lapinkirvinen,närhi,arokotka,arosuohaukka,pulmussirri,tunturikihu,valkoselkätikka,taigauunilintu,pähkinänakkeli,pohjantikka,pyrstötiainen,helmipöllö,maakotka,hippiäisuunilintu,turturikyyhky,varpuspöllö,koskikara,taviokuurna,taigakirvinen,vuorihemppo,lyhytvarvaskiuru,tundraurpiainen,fasaani,amerikanjääkuikka,mustatiira,jääkuikka,nummikirvinen,mehiläissyöjä,keräkurmitsa,sepelsieppo,kuhankeittäjä,kiljukotka,pikkutiira,viitasirkkalintu,nokivaris,pikkukultarinta,virtavästäräkki,etelänkiisla,vuoriuunilintu,lyhytnokkahanhi,huuhkaja,isokirvinen,isovesipääsky,ruskouunilintu,harmaasirkku,pikku-uikku,isolokki,metso,kattohaikara,ruisrääkkä,amerikantukkasotka,kyhmypilkkasiipi,liejukana,kaulushaikara,hiiripöllö,mustakaularastas,pikkusirkku,merisirri,harjalintu,mustapäätasku,luhtahuitti,lumihanhi,punakaulahanhi,lampiviklo,rantakurvi,tunturihaukka,punakottarainen,viirupöllö,rusorintakerttu,isohaarahaukka,lapintiainen,kuningaskalastaja,viitatiainen,taigarautiainen,lapinpöllö,kashmirinuunilintu,aroharmaalokki,ruostesorsa,mustahaikara,sinipyrstö,kääpiökerttu,punapäänarsku,tulipäähippiäinen,niittysuohaukka,palsasirri
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-02,0.0,0.0,0.0,,,32.0,,,,,0.0,,,0.0,,,,,,,2.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,9.0,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-03,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,8.0,,0.0,0.0,0.0,0.0,,0.0,152.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,4.0,,0.0,,21.0,0.0,,,0.0,,0.0,,,,,51.0,0.0,,,,368.0,60.0,1.0,6.0,,198.0,2.0,208.0,1.0,0.0,20.0,,,4.0,,78.0,,2.0,14.0,281.0,,2.0,,,,0.0,0.0,,,0.0,0.0,,,,7.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,0.0,0.0,0.0,2.0,0.0,13.0,18.0,0.0,17.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,147.0,1.0,2.0,,,1.0,,0.0,,,,0.0,,0.0,441.0,,,0.0,,0.0,,0.0,53.0,,,1.0,,,,5.0,,,1.0,,0.0,3.0,0.0,,0.0,2.0,5.0,,0.0,0.0,,0.0,0.0,17.0,6.0,,0.0,11.0,0.0,1.0,0.0,0.0,20.0,,,,,0.0,,,25.0,,0.0,,,,10.0,0.0,0.0,,0.0,,,,0.0,11.0,,0.0,,0.0,,,,,0.0,,,7.0,2.0,0.0,,,7.0,8.0,,,,0.0,0.0,,1.0,11.0,,1.0,0.0,0.0,,,0.0,,2.0,,0.0,0.0,0.0,0.0,,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,0.0,,12.0,2.0,0.0,109.0,6.0,127.0,25.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,52.0,2014.0,,,,,,,,9.0,,33.0,0.0,,,,0.0,1.0,,0.0,,0.0,0.0,7.0,,,,13.0,,0.0,1.0,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,4.0,0.0,,,0.0,,,,,1.0,,,,11.0,,,,0.0,,,,,0.0,,,0.0,1.0,,,,,0.0,,,,35.0,0.0,7.0,0.0,,,1.0,,0.0,,,0.0,6.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,0.0,,0.0,3.0,,,,0.0,,,0.0,,,0.0,,,,46.0,,1.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,,,0.0,5.0,,5.0,,0.0,0.0,0.0,,,,,12.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,22.0,,,,,,,0.0,,,,0.0,,55.0,0.0,,,,0.0,,,,,0.0,,,,,,0.0,2.0,,,,24.0,0.0,4.0,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,23.0,0.0,,0.0,,,1.0,,,,1.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,2.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,0.0,,0.0,1.0,,,0.0,0.0,106.0,0.0,0.0,0.0,,,10.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,10.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,1.0,0.0,,,0.0,2.0,,,,0.0,2.0,18.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,60.0,,0.0,,0.0,1.0,,,,0.0,1.0,0.0,,,,,,4.0,,,,0.0,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-09,0.0,0.0,0.0,0.0,,4.0,,0.0,16.0,0.0,0.0,36.0,,,0.0,0.0,0.0,,,0.0,,3.0,0.0,1.0,184.0,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,,246.0,,,,,6.0,,,,,,1.0,,26.0,,9.0,0.0,3.0,0.0,,,,,,1.0,3.0,13.0,35.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,2.0,,23.0,1.0,,,,2.0,,,,0.0,1.0,,0.0,2.0,,,,,89.0,2.0,,,,,,,0.0,,3.0,,0.0,,,,18.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,,19.0,,0.0,,,,,4.0,,,0.0,,,1.0,2.0,1.0,0.0,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,21.0,3.0,0.0,11.0,,,0.0,0.0,0.0,6.0,,4.0,6.0,142.0,47.0,105.0,288.0,,0.0,,,0.0,3.0,12.0,27.0,,,0.0,,0.0,0.0,2.0,,,,0.0,55.0,1.0,,4.0,308.0,16.0,,,,303.0,,23.0,3.0,,19.0,,201.0,,17.0,42.0,,,8.0,,,0.0,21.0,1.0,,,0.0,,,11.0,160.0,0.0,,,0.0,,2.0,,,,27.0,,,,6.0,,,,14.0,,,,32.0,,,,,,0.0,,,,,1.0,0.0,5.0,0.0,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,23.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
