FIN_name;SWE_name;ENG_name;Sci_name
talitiainen;talgoxe;Great Tit;Parus major
teeri;orre;Black Grouse;Tetrao tetrix
kalalokki;fiskmås;Mew Gull;Larus canus
harmaalokki;gråtrut;European Herring Gull;Larus argentatus
merilokki;havstrut;Great Black-backed Gull;Larus marinus
varis;kråka;Hooded Crow;Corvus corone
korppi;korp;Northern Raven;Corvus corax
pikkulintu;ob. småfågel;Unidentified Songbird;PL (pikkulintu)
kiuru;sånglärka;Eurasian Skylark;Alauda arvensis
mustarastas;koltrast;Common Blackbird;Turdus merula
naakka;kaja;Western Jackdaw;Corvus monedula
mustavaris;råka;Rook;Corvus frugilegus
viherpeippo;grönfink;European Greenfinch;Carduelis chloris
urpiainen;gråsiska;Common Redpoll;Carduelis flammea
pajusirkku;sävsparv;Common Reed Bunting;Emberiza schoeniclus
varpushaukka;sparvhök;Eurasian Sparrowhawk;Accipiter nisus
harakka;skata;Common Magpie;Pica pica
korppi / varis / mustavaris;korp / kråka / råka;Unidentified Large Crow;magnus Corvus
vihervarpunen;grönsiska;Eurasian Siskin;Carduelis spinus
pikkukäpylintu / isokäpylintu;mindre korsnäbb / större korsnäbb;Common / Parrot Crossbill;Loxia curvirostra / Loxia pytyopsittacus
isokoskelo;storskrake;Common Merganser;Mergus merganser
tuulihaukka;tornfalk;Common Kestrel;Falco tinnunculus
uuttukyyhky;skogsduva;Stock Dove;Columba oenas
sepelkyyhky;ringduva;Common Wood Pigeon;Columba palumbus
kyyhkylaji (Columba);Columba (släktet);Unidentified Columba Dove;Columba sp
pikkutikka;mindre hackspett;Lesser Spotted Woodpecker;Dendrocopos minor
räkättirastas;björktrast;Fieldfare;Turdus pilaris
hiirihaukkalaji;Buteo (släktet);Unidentified Buteo buzzard;Buteo sp
töyhtöhyyppä;tofsvipa;Northern Lapwing;Vanellus vanellus
laulurastas;taltrast;Song Thrush;Turdus philomelos
kulorastas;dubbeltrast;Mistle Thrush;Turdus viscivorus
rastaslaji (Turdus);Turdus (släktet);Unidentified Thrush;Turdus sp
pulmunen;snösparv;Snow Bunting;Plectrophenax nivalis
kyhmyjoutsen;knölsvan;Mute Swan;Cygnus olor
merihanhi;grågås;Greylag Goose;Anser anser
hiirihaukka;ormvråk;Common Buzzard;Buteo buteo
rautiainen;järnsparv;Dunnock;Prunella modularis
hippiäinen;kungsfågel;Goldcrest;Regulus regulus
